Date,Open,High,Low,Close,Close_EWMA,Close_50_MA,Adj_Close,Volume
2016-01-04,25.6525,26.3425,25.5,26.3375,26.3375,26.3375,24.28683,270597600
2016-01-05,26.4375,26.4625,25.6025,25.6775,26.2175,26.0075,23.67822,223164000
2016-01-06,25.14,25.5925,24.9675,25.175,26.02795,25.73,23.21485,273829600
2016-01-07,24.67,25.0325,24.1075,24.1125,25.67969,25.32562,22.23507,324377600
2016-01-08,24.6375,24.7775,24.19,24.24,25.41793,25.1085,22.35264,283192000
2016-01-11,24.7425,24.765,24.335,24.6325,25.27512,25.02917,22.71458,198957600
2016-01-12,25.1375,25.1725,24.71,24.99,25.22328,25.02357,23.04425,196616800
2016-01-13,25.08,25.2975,24.325,24.3475,25.06405,24.93906,22.45177,249758400
2016-01-14,24.49,25.12,23.935,24.88,25.03059,24.9325,22.94281,252680400
2016-01-15,24.05,24.4275,23.84,24.2825,24.89457,24.8675,22.39184,319335600
2016-01-19,24.6025,24.6625,23.875,24.165,24.76192,24.80364,22.28348,212350800
2016-01-20,23.775,24.5475,23.355,24.1975,24.6593,24.75312,22.31345,289337600
2016-01-21,24.265,24.47,23.735,24.075,24.55306,24.70096,22.20049,208646000
2016-01-22,24.6575,25.365,24.5925,25.355,24.69887,24.74768,23.38083,263202000
2016-01-25,25.38,25.3825,24.8025,24.86,24.72817,24.75517,22.92437,207178000
2016-01-26,24.9825,25.22,24.5175,24.9975,24.77714,24.77031,23.05116,300308000
2016-01-27,24.01,24.1575,23.335,23.355,24.51857,24.68706,21.53655,533478800
2016-01-28,23.4475,23.63,23.0975,23.5225,24.33746,24.62236,21.691,222715200
2016-01-29,23.6975,24.335,23.5875,24.335,24.33701,24.60724,22.44024,257666000
2016-02-01,24.1175,24.1775,23.85,24.1075,24.29528,24.58225,22.23046,163774000
2016-02-02,23.855,24.01,23.57,23.62,24.17251,24.53643,21.78092,149428800
2016-02-03,23.75,24.21,23.52,24.0875,24.15705,24.51602,22.21202,183857200
2016-02-04,23.965,24.3325,23.7975,24.15,24.15577,24.50011,22.39049,185886800
2016-02-05,24.13,24.23,23.4225,23.505,24.03745,24.45865,21.79249,185672400
2016-02-08,23.2825,23.925,23.26,23.7525,23.98564,24.4304,22.02196,216085600
2016-02-09,23.5725,23.985,23.4825,23.7475,23.94234,24.40413,22.01731,177324800
2016-02-10,23.98,24.0875,23.525,23.5675,23.87419,24.37315,21.85043,169374400
2016-02-11,23.4475,23.68,23.1475,23.425,23.79252,24.33929,21.71831,200298800
2016-02-12,23.5475,23.625,23.2525,23.4975,23.73888,24.31026,21.78553,161405600
2016-02-16,23.755,24.2125,23.6525,24.16,23.81545,24.30525,22.39976,196231600
2016-02-17,24.1675,24.5525,24.0375,24.53,23.94536,24.3125,22.74281,179452800
2016-02-18,24.71,24.7225,24.0225,24.065,23.96712,24.30477,22.31169,156084000
2016-02-19,24,24.19,23.95,24.01,23.97491,24.29583,22.26069,141496800
2016-02-22,24.0775,24.225,23.98,24.22,24.01947,24.2936,22.45539,137123200
2016-02-23,24.1,24.125,23.6375,23.6725,23.95639,24.27586,21.94778,127770400
2016-02-24,23.495,24.095,23.33,24.025,23.96886,24.26889,22.2746,145022800
2016-02-25,24.0125,24.19,23.8125,24.19,24.00907,24.26676,22.42758,110330800
2016-02-26,24.3,24.505,24.145,24.2275,24.04878,24.26572,22.46235,115964400
2016-02-29,24.215,24.5575,24.1625,24.1725,24.07128,24.26333,22.41135,140865200
2016-03-01,24.4125,25.1925,24.355,25.1325,24.26423,24.28506,23.30141,201628400
2016-03-02,25.1275,25.2225,24.91,25.1875,24.4321,24.30707,23.3524,132678400
2016-03-03,25.145,25.4275,25.1125,25.375,24.60353,24.3325,23.52624,147822800
2016-03-04,25.5925,25.9375,25.3425,25.7525,24.81244,24.36552,23.87624,184220400
2016-03-07,25.5975,25.7075,25.24,25.4675,24.93154,24.39057,23.61201,143315600
2016-03-08,25.195,25.44,25.1,25.2575,24.9908,24.40983,23.4173,126247600
2016-03-09,25.3275,25.395,25.0675,25.28,25.04339,24.42875,23.43817,108806800
2016-03-10,25.3525,25.56,25.0375,25.2925,25.08868,24.44713,23.44976,134054400
2016-03-11,25.56,25.57,25.375,25.565,25.17528,24.47042,23.7024,109632800
2016-03-14,25.4775,25.7275,25.445,25.63,25.25796,24.49408,23.76266,100304400
2016-03-15,25.99,26.295,25.9625,26.145,25.41924,24.5271,24.24014,160270800
2016-03-16,26.1525,26.5775,26.1475,26.4925,25.61438,24.5302,24.56233,153214000
2016-03-17,26.38,26.6175,26.24,26.45,25.76631,24.54565,24.52292,137682800
2016-03-18,26.585,26.625,26.2975,26.48,25.89607,24.57175,24.55074,176820800
2016-03-21,26.4825,26.9125,26.285,26.4775,26.00179,24.61905,24.54842,142010800
2016-03-22,26.3125,26.8225,26.3025,26.68,26.1251,24.66785,24.73616,129777600
2016-03-23,26.62,26.7675,26.475,26.5325,26.19917,24.70585,24.59941,102814000
2016-03-24,26.3675,26.5625,26.2225,26.4175,26.23887,24.7344,24.49279,104532000
2016-03-28,26.5,26.5475,26.265,26.2975,26.24953,24.7734,24.38153,77645600
2016-03-29,26.2225,26.9475,26.22,26.92,26.37143,24.8142,24.95868,124760400
2016-03-30,27.1625,27.605,27.15,27.39,26.55663,24.87635,25.39443,182404400
2016-03-31,27.43,27.475,27.22,27.2475,26.68224,24.938,25.26232,103553600
2016-04-01,27.195,27.5,27.05,27.4975,26.83047,25.004,25.4941,103496000
2016-04-04,27.605,28.0475,27.5675,27.78,27.00311,25.0781,25.75602,149424800
2016-04-05,27.3775,27.6825,27.355,27.4525,27.08482,25.12005,25.45238,106314800
2016-04-06,27.5575,27.745,27.3,27.74,27.20394,25.17765,25.71894,105616400
2016-04-07,27.4875,27.605,27.03,27.135,27.19141,25.2204,25.15801,127207600
2016-04-08,27.2275,27.4425,27.0425,27.165,27.18661,25.2966,25.18583,94326800
2016-04-11,27.2425,27.6525,27.2075,27.255,27.19904,25.37125,25.26927,117630000
